Complexity metrics,Tue, 21 Nov 2023 09:23:50 GMT
Method,CogC,ev(G),iv(G),v(G)
click(int),1,n/a,n/a,n/a
"com.example.feelgoodinc.CalendarUtility.addDateColour(CompactCalendarView, String, int)",1,1,1,2
"com.example.feelgoodinc.CalendarUtility.addDateColourWithData(CompactCalendarView, String, String, int)",1,1,1,2
com.example.feelgoodinc.ExampleInstrumentedTest.useAppContext(),0,1,1,1
com.example.feelgoodinc.ExampleUnitTest.addition_isCorrect(),0,1,1,1
com.example.feelgoodinc.HomePage.onCreate(Bundle),0,1,1,1
com.example.feelgoodinc.HomePage.onNavigationItemSelected(MenuItem),1,1,2,2
com.example.feelgoodinc.HomePage.onResume(),0,1,1,1
com.example.feelgoodinc.HomePage.selectFragment(int),6,1,7,7
com.example.feelgoodinc.LoginActivity.loginUserAccount(),3,3,4,4
com.example.feelgoodinc.LoginActivity.onCreate(Bundle),0,1,1,1
com.example.feelgoodinc.LoginActivity.onStart(),0,1,1,1
com.example.feelgoodinc.LoginActivity.onStop(),1,1,2,2
com.example.feelgoodinc.LoginActivityTest.loginUserFailed(),0,1,1,1
com.example.feelgoodinc.LoginActivityTest.loginUserSuccessful(),0,1,1,1
com.example.feelgoodinc.LoginActivityTest.onCreate(),0,1,1,1
com.example.feelgoodinc.LoginActivityTest.onStart(),0,1,1,1
com.example.feelgoodinc.LoginActivityTest.onStop(),0,1,1,1
com.example.feelgoodinc.LoginActivityTest.setUp(),0,1,1,1
com.example.feelgoodinc.LoginActivityTest.tearDown(),0,1,1,1
com.example.feelgoodinc.SignupActivity.onCreate(Bundle),0,1,1,1
com.example.feelgoodinc.SignupActivity.onStart(),0,1,1,1
com.example.feelgoodinc.SignupActivity.onStop(),1,1,2,2
com.example.feelgoodinc.SignupActivity.registerNewUser(),3,3,4,4
com.example.feelgoodinc.SignupActivityTest.onCreate(),0,1,1,1
com.example.feelgoodinc.SignupActivityTest.onStop(),0,1,1,1
com.example.feelgoodinc.SignupActivityTest.registerNewUser(),0,1,1,1
com.example.feelgoodinc.SignupActivityTest.setUp(),0,1,1,1
com.example.feelgoodinc.SignupActivityTest.tearDown(),0,1,1,1
com.example.feelgoodinc.TutorialActivity.onCreate(Bundle),0,1,1,1
com.example.feelgoodinc.activityRecyclerView.ActivityViewHolder.ActivityViewHolder(View),0,1,1,1
com.example.feelgoodinc.activityRecyclerView.ClickListener.click(int),0,1,1,1
"com.example.feelgoodinc.adapters.ActivityGalleryAdapter.ActivityGalleryAdapter(List<Activity>, Context, ClickListener)",0,1,1,1
com.example.feelgoodinc.adapters.ActivityGalleryAdapter.getItemCount(),0,1,1,1
com.example.feelgoodinc.adapters.ActivityGalleryAdapter.onAttachedToRecyclerView(RecyclerView),0,1,1,1
"com.example.feelgoodinc.adapters.ActivityGalleryAdapter.onBindViewHolder(ActivityViewHolder, int)",0,1,1,1
"com.example.feelgoodinc.adapters.ActivityGalleryAdapter.onCreateViewHolder(ViewGroup, int)",0,1,1,1
"com.example.feelgoodinc.adapters.TutorialPagerAdapter.TutorialPagerAdapter(FragmentActivity, List<Fragment>)",0,1,1,1
com.example.feelgoodinc.adapters.TutorialPagerAdapter.createFragment(int),0,1,1,1
com.example.feelgoodinc.adapters.TutorialPagerAdapter.getItemCount(),0,1,1,1
com.example.feelgoodinc.fragments.HomeFragment.account(),0,1,1,1
"com.example.feelgoodinc.fragments.HomeFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",2,1,2,2
com.example.feelgoodinc.fragments.MoodFragment.convertTextToMoodType(String),1,6,1,6
"com.example.feelgoodinc.fragments.MoodFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",18,1,8,8
com.example.feelgoodinc.fragments.MoodFragment.onStart(),0,1,1,1
com.example.feelgoodinc.fragments.MoodFragment.onStop(),0,1,1,1
com.example.feelgoodinc.fragments.PlaceHolderResources.PlaceHolderResources(),0,1,1,1
"com.example.feelgoodinc.fragments.PlaceHolderResources.newInstance(String, String)",0,1,1,1
com.example.feelgoodinc.fragments.PlaceHolderResources.onCreate(Bundle),1,1,2,2
"com.example.feelgoodinc.fragments.PlaceHolderResources.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,1,1,1
com.example.feelgoodinc.fragments.ResourcesFragment.ResourcesFragment(),0,1,1,1
"com.example.feelgoodinc.fragments.ResourcesFragment.newInstance(String, String)",0,1,1,1
com.example.feelgoodinc.fragments.ResourcesFragment.onCreate(Bundle),1,1,2,2
"com.example.feelgoodinc.fragments.ResourcesFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,1,1,1
com.example.feelgoodinc.fragments.UserProfileFragment.changePasswordClick(View),2,1,2,2
"com.example.feelgoodinc.fragments.UserProfileFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,1,1,1
com.example.feelgoodinc.fragments.UserProfileFragment.onStart(),1,1,2,2
com.example.feelgoodinc.fragments.UserProfileFragment.onStop(),3,1,3,3
com.example.feelgoodinc.fragments.UserProfileFragment.submitNewPassword(View),1,1,2,2
"com.example.feelgoodinc.fragments.calmingActivities.ActivityFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,1,1,1
"com.example.feelgoodinc.fragments.calmingActivities.ActivityFragment.onViewCreated(View, Bundle)",2,1,1,4
com.example.feelgoodinc.fragments.calmingActivities.ActivityFragment.populateList(),0,1,1,1
com.example.feelgoodinc.fragments.calmingActivities.BreathingFragment.closeActivity(),0,1,1,1
"com.example.feelgoodinc.fragments.calmingActivities.BreathingFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",7,1,3,3
"com.example.feelgoodinc.fragments.calmingActivities.GroundingFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,1,1,1
com.example.feelgoodinc.fragments.calmingActivities.GroundingFragment.submitGrounding(View),7,1,4,5
